INFO  [main] org.audiveris.omr.Main:250 | Running in batch mode
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 1
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5529 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 4
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6167 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5726 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5738 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 1
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5533 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 4
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5534 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6221 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6222 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6223 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6224 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6225 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5535 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6226 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5546 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5547 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 1
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5541 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 1
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5545 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 5
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5556 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6227 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6228 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6229 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5600 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6230 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6231 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6232 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5586 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6233 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6234 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6235 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5579 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5593 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 11
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:340 | Symbol parts shrunk from 11 to 7
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5630 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6236 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6237 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6238 [SYMBOL]}
